user_id,feature,usage_count,avg_time_spent_minutes,satisfaction_score
user_152,settings,100,20.14,3.81
user_153,reports,92,70.82,3.21
user_154,reports,15,70.59,1.6
user_155,collaboration,1,93.98,2.64
user_156,dashboard,98,75.88,1.41
user_157,reports,45,79.38,3.26
user_158,collaboration,56,92.06,2.65
user_159,analytics,60,115.83,1.36
user_160,analytics,97,97.01,3.55
user_161,collaboration,25,115.42,2.37
user_162,analytics,45,53.23,5.0
user_163,reports,96,43.26,3.44
user_164,collaboration,9,52.41,1.66
user_165,collaboration,2,43.61,3.25
user_166,settings,55,19.59,1.21
user_167,notifications,91,99.75,3.34
user_168,task_management,88,48.49,1.27
user_169,notifications,78,53.13,3.82
user_170,settings,44,17.18,3.75
user_171,collaboration,44,86.23,1.07
user_172,task_management,1,82.57,2.24
user_173,task_management,15,95.54,2.02
user_174,dashboard,52,14.96,3.7
user_175,dashboard,18,14.65,4.64
user_176,collaboration,68,18.7,4.43
user_177,settings,22,76.21,3.97
user_178,notifications,9,15.86,3.71
user_179,analytics,83,20.6,1.69
user_180,notifications,96,111.36,4.9
user_181,collaboration,8,55.18,1.97
user_182,settings,69,10.17,1.95
user_183,settings,13,98.62,2.23
user_184,analytics,20,32.97,3.31
user_185,settings,11,117.49,4.21
user_186,analytics,95,60.55,1.22
user_187,task_management,12,23.93,1.69
user_188,dashboard,77,28.04,2.27
user_189,collaboration,88,26.56,2.22
user_190,reports,71,27.73,2.87
user_191,collaboration,93,51.45,3.31
user_192,notifications,21,73.05,4.64
user_193,reports,24,57.13,1.48
user_194,dashboard,67,81.12,1.89
user_195,reports,47,25.45,4.8
user_196,settings,71,77.87,1.38
user_197,task_management,60,53.02,1.67
user_198,task_management,57,105.58,4.88
user_199,settings,21,60.93,1.72
user_200,analytics,25,10.67,4.72
user_201,notifications,55,21.11,3.72
user_202,settings,29,52.46,4.9
user_203,task_management,30,55.79,1.86
user_204,task_management,46,96.13,3.29
user_205,notifications,20,56.03,4.1
user_206,reports,91,34.99,3.5
user_207,notifications,16,88.07,4.64
user_208,collaboration,1,78.26,3.29
user_209,analytics,73,65.35,2.02
user_210,analytics,93,37.45,1.98
user_211,settings,3,83.92,2.92
user_212,notifications,12,66.11,3.78
user_213,task_management,63,117.96,4.57
user_214,dashboard,25,12.58,3.09
user_215,task_management,29,36.91,4.57
user_216,collaboration,19,105.66,2.45
user_217,reports,93,84.01,1.27
user_218,reports,31,22.76,2.67
user_219,collaboration,61,68.08,3.3
user_220,task_management,88,49.66,1.77
user_221,dashboard,19,42.56,3.11
user_222,notifications,85,114.16,1.87
user_223,task_management,24,57.85,4.73
user_224,reports,93,44.11,4.04
user_225,collaboration,79,47.07,3.06
user_226,reports,6,74.9,2.56
user_227,collaboration,8,32.02,1.32
user_228,task_management,39,99.01,4.87
user_229,collaboration,94,12.41,3.02
user_230,reports,68,22.9,3.81
user_231,dashboard,30,91.86,1.98
user_232,analytics,4,75.1,2.54
user_233,settings,49,53.23,1.88
user_234,notifications,27,119.83,2.28
user_235,analytics,17,64.09,1.19
user_236,dashboard,50,19.09,2.13
user_237,collaboration,80,112.18,3.02
user_238,task_management,16,42.84,4.42
user_239,notifications,43,53.61,3.56
user_240,analytics,22,80.86,4.04
user_241,collaboration,36,64.4,3.14
user_242,dashboard,43,49.78,4.21
user_243,notifications,93,97.31,3.87
user_244,notifications,16,112.5,4.1
user_245,notifications,86,13.92,4.93
user_246,reports,20,103.7,2.77
user_247,analytics,80,29.06,4.51
user_248,collaboration,14,95.89,1.79
user_249,reports,7,28.56,3.77
user_250,notifications,68,45.2,4.18
user_251,notifications,37,37.43,3.93
user_252,dashboard,63,94.03,2.66
user_253,reports,4,10.36,3.25
user_254,dashboard,74,87.33,1.87
user_255,analytics,38,93.77,2.32
user_256,settings,23,27.83,1.39
user_257,collaboration,36,86.56,3.25
user_258,collaboration,40,97.1,4.79
user_259,collaboration,89,16.85,3.3
user_260,reports,49,101.82,1.33
user_261,task_management,98,87.3,4.93
user_262,notifications,21,112.8,4.09
user_263,task_management,57,98.47,3.83
user_264,collaboration,89,114.27,3.06
user_265,task_management,59,105.81,3.62
user_266,notifications,46,119.63,4.63
user_267,reports,17,79.33,1.12
user_268,analytics,97,76.92,2.99
user_269,task_management,100,69.4,4.89
user_270,dashboard,12,76.0,4.43
user_271,dashboard,39,26.66,1.57
user_272,notifications,38,47.03,2.66
user_273,notifications,83,102.96,4.45
user_274,task_management,93,105.64,1.6
user_275,analytics,19,104.43,4.76
user_276,settings,27,46.78,2.09
user_277,collaboration,4,117.67,1.24
user_278,notifications,82,67.06,1.31
user_279,dashboard,7,18.7,3.16
user_280,reports,25,66.79,2.38
user_281,task_management,64,90.11,1.94
user_282,dashboard,96,46.24,4.8
user_283,notifications,80,90.98,4.28
user_284,notifications,18,95.47,2.27
user_285,notifications,82,58.33,1.79
user_286,collaboration,70,119.29,3.57
user_287,notifications,71,14.01,2.98
user_288,task_management,90,20.32,3.62
user_289,analytics,51,54.87,3.19
user_290,notifications,71,22.19,4.75
user_291,dashboard,11,17.75,1.09
user_292,dashboard,22,13.9,4.78
user_293,collaboration,68,116.02,2.91
user_294,settings,40,31.86,4.13
user_295,settings,15,74.54,4.39
user_296,settings,18,37.75,2.04
user_297,collaboration,24,59.63,3.56
user_298,settings,44,96.62,3.07
user_299,notifications,25,33.77,1.61
user_300,notifications,15,49.92,4.81
user_301,collaboration,17,103.67,3.59
user_302,notifications,46,91.74,1.94
user_303,settings,57,23.3,1.07
user_304,analytics,78,56.23,4.24
user_305,reports,54,49.54,4.76
user_306,notifications,80,97.88,4.15
user_307,dashboard,65,42.5,1.48
user_308,reports,44,26.0,2.49
user_309,analytics,81,67.83,3.22
user_310,dashboard,76,62.64,1.54
user_311,analytics,99,55.04,1.24
user_312,analytics,73,83.55,4.7
user_313,reports,80,15.72,3.93
user_314,notifications,95,117.43,4.65
user_315,settings,70,36.83,3.84
user_316,settings,92,36.25,1.98
user_317,reports,55,26.11,1.05
user_318,reports,53,113.16,1.36
user_319,notifications,47,90.34,3.58
user_320,task_management,100,67.0,4.93
user_321,task_management,37,13.37,2.25
user_322,settings,32,18.94,1.77
user_323,reports,96,24.18,2.67
user_324,task_management,11,62.13,4.21
user_325,analytics,29,57.38,3.15
user_326,collaboration,85,25.61,4.16
user_327,reports,51,100.78,3.62
user_328,notifications,82,29.41,1.04
user_329,reports,80,91.69,1.19
user_330,collaboration,77,62.28,3.38
user_331,collaboration,58,31.14,3.48
user_332,reports,31,82.56,4.03
user_333,dashboard,39,89.67,3.59
user_334,analytics,74,116.42,1.12
user_335,task_management,96,52.57,4.19
user_336,settings,21,30.14,2.07
user_337,settings,9,112.56,3.81
user_338,task_management,63,54.6,3.54
user_339,reports,80,74.03,2.67
user_340,collaboration,91,64.84,2.4
user_341,collaboration,87,44.6,1.53
user_342,dashboard,28,82.87,2.27
user_343,analytics,88,90.51,4.07
user_344,collaboration,69,10.82,2.08
user_345,settings,43,42.93,1.39
user_346,collaboration,20,62.81,1.99
user_347,collaboration,26,96.57,3.24
user_348,reports,66,24.93,3.95
user_349,notifications,88,19.64,2.04
user_350,notifications,21,105.73,4.89
user_351,task_management,99,38.34,4.01
user_352,task_management,72,108.04,3.78
user_353,collaboration,17,33.47,3.26
user_354,task_management,14,19.84,3.0
user_355,analytics,56,54.0,4.35
user_356,reports,63,23.11,4.85
user_357,collaboration,9,111.89,1.99
user_358,task_management,27,118.02,2.64
user_359,dashboard,46,67.83,4.97
user_360,task_management,50,41.87,4.45
user_361,reports,66,93.82,2.6
user_362,reports,50,96.99,1.2
user_363,analytics,55,84.38,1.31
user_364,dashboard,99,50.46,2.33
user_365,analytics,20,116.41,1.07
user_366,analytics,72,70.99,4.82
user_367,reports,28,39.74,3.03
user_368,reports,33,80.02,3.78
user_369,analytics,80,97.98,4.19
user_370,collaboration,93,90.81,1.57
user_371,task_management,8,109.48,1.34
user_372,settings,60,35.53,3.3
user_373,analytics,73,112.05,2.25
user_374,task_management,89,39.32,1.1
user_375,settings,25,28.02,2.71
user_376,reports,98,19.37,2.21
user_377,reports,25,117.24,4.84
user_378,task_management,26,104.5,3.59
user_379,dashboard,37,86.16,3.66
user_380,collaboration,81,104.02,2.37
user_381,reports,19,54.96,2.97
user_382,analytics,64,33.11,1.95
user_383,notifications,42,95.05,2.87
user_384,settings,22,13.86,2.22
user_385,task_management,87,78.65,2.74
user_386,notifications,49,45.07,3.53
user_387,analytics,60,58.64,3.4
user_388,settings,72,23.63,3.35
user_389,collaboration,37,103.49,2.85
user_390,task_management,84,61.47,4.25
user_391,dashboard,21,54.4,3.26
user_392,analytics,83,50.48,3.87
user_393,notifications,75,54.42,1.15
user_394,reports,73,105.42,3.7
user_395,notifications,38,108.45,1.11
user_396,reports,21,63.98,4.99
user_397,analytics,44,80.83,1.45
user_398,collaboration,35,95.05,4.67
user_399,task_management,46,72.6,2.53
user_400,collaboration,81,24.83,1.72
user_401,task_management,91,75.5,1.4
user_402,reports,73,98.09,2.32
user_403,reports,91,118.59,2.48
user_404,notifications,59,90.28,3.98
user_405,notifications,91,49.27,3.06
user_406,collaboration,53,114.07,1.75
user_407,notifications,56,47.6,3.53
user_408,settings,36,24.92,3.81
user_409,dashboard,48,23.74,3.1
user_410,notifications,71,65.86,3.11
user_411,dashboard,60,26.41,1.35
user_412,task_management,14,70.54,2.19
user_413,dashboard,45,59.05,2.27
user_414,notifications,77,38.33,4.68
user_415,reports,59,35.85,1.36
user_416,analytics,74,73.37,1.23
user_417,dashboard,87,117.08,1.94
user_418,reports,21,73.35,3.23
user_419,dashboard,10,107.69,4.78
user_420,task_management,76,54.45,3.72
user_421,dashboard,38,71.95,4.23
user_422,collaboration,90,60.13,2.36
user_423,dashboard,84,104.68,4.37
user_424,notifications,11,40.52,3.91
user_425,dashboard,67,62.94,2.5
user_426,notifications,39,63.51,4.98
user_427,task_management,40,56.21,3.27
user_428,analytics,49,76.9,1.45
user_429,task_management,46,51.52,3.58
user_430,dashboard,12,90.64,3.02
user_431,settings,98,104.31,2.22
user_432,analytics,23,87.87,2.02
user_433,settings,7,109.94,1.59
user_434,collaboration,49,35.76,2.0
user_435,analytics,34,72.57,3.62
user_436,settings,19,17.8,4.17
user_437,notifications,12,116.51,1.41
user_438,reports,33,50.5,2.79
user_439,dashboard,96,37.69,2.49
user_440,task_management,50,66.26,2.04
user_441,notifications,41,25.14,2.58
user_442,settings,74,44.74,3.68
user_443,dashboard,80,44.76,4.11
user_444,collaboration,98,103.03,3.59
user_445,reports,53,98.88,2.71
user_446,reports,22,14.46,1.9
user_447,collaboration,62,85.26,1.03
user_448,collaboration,62,54.35,2.7
user_449,collaboration,33,14.6,2.22
user_450,notifications,71,62.56,1.21
user_451,settings,78,30.07,4.15
user_452,settings,12,68.27,2.34
user_453,task_management,19,60.55,4.38
user_454,reports,1,44.55,4.59
user_455,notifications,71,65.57,3.5
user_456,dashboard,3,88.32,1.57
user_457,reports,84,83.37,4.16
user_458,analytics,45,53.43,4.47
user_459,settings,43,108.87,4.22
user_460,collaboration,86,96.4,4.5
user_461,notifications,13,66.1,4.79
user_462,task_management,13,18.92,2.03
user_463,notifications,12,69.33,2.88
user_464,settings,14,65.93,2.9
user_465,settings,76,105.65,1.84
user_466,dashboard,97,52.76,1.21
user_467,analytics,37,47.44,4.68
user_468,settings,83,55.76,2.47
user_469,task_management,89,82.01,4.09
user_470,analytics,11,11.53,4.73
user_471,reports,80,55.02,4.74
user_472,settings,36,91.2,2.98
user_473,collaboration,61,34.16,4.79
user_474,dashboard,53,69.04,1.8
user_475,reports,88,14.39,4.46
user_476,task_management,85,73.33,3.26
user_477,analytics,57,101.63,3.25
user_478,task_management,35,21.92,3.96
user_479,analytics,69,32.56,2.97
user_480,collaboration,30,65.44,3.11
user_481,dashboard,2,69.64,3.3
user_482,task_management,62,43.31,1.39
user_483,dashboard,14,11.06,1.48
user_484,reports,39,55.79,2.05
user_485,task_management,42,13.01,1.49
user_486,notifications,63,71.73,4.82
user_487,notifications,22,109.52,1.56
user_488,notifications,69,23.82,4.37
user_489,analytics,78,53.29,2.06
user_490,notifications,43,86.39,4.44
user_491,notifications,61,50.98,4.52
user_492,settings,21,119.64,2.64
user_493,dashboard,89,104.02,4.4
user_494,notifications,2,90.16,2.53
user_495,reports,2,85.62,3.07
user_496,settings,98,55.58,3.9
user_497,analytics,4,27.19,1.18
user_498,analytics,73,11.98,2.66
user_499,analytics,47,69.65,2.81
user_500,collaboration,29,102.58,4.11
user_501,collaboration,51,113.18,3.11
user_502,reports,5,74.08,4.57
user_503,dashboard,12,21.64,4.22
user_504,settings,35,15.5,4.15
user_505,notifications,43,53.14,3.16
user_506,notifications,49,95.18,2.75
user_507,analytics,50,92.36,2.85
user_508,reports,6,53.83,1.93
user_509,analytics,86,63.61,2.97
user_510,collaboration,95,32.7,2.8
user_511,collaboration,53,60.58,2.37
user_512,collaboration,58,77.89,4.68
user_513,notifications,91,82.15,4.49
user_514,settings,26,95.65,4.86
user_515,settings,44,93.32,4.47
user_516,dashboard,43,99.42,4.57
user_517,collaboration,99,98.28,1.72
user_518,dashboard,50,76.94,4.37
user_519,notifications,80,43.2,4.61
user_520,analytics,89,15.82,2.74
user_521,notifications,25,67.82,2.53
user_522,dashboard,38,111.66,4.84
user_523,dashboard,15,31.22,4.25
user_524,notifications,71,59.8,4.5
user_525,reports,20,43.01,1.96
user_526,task_management,60,67.55,3.14
user_527,analytics,84,92.03,1.02
user_528,collaboration,74,44.02,3.52
user_529,task_management,66,12.98,1.3
user_530,reports,97,64.52,4.01
user_531,settings,74,40.58,1.41
user_532,reports,39,78.96,4.56
user_533,task_management,78,95.8,1.38
user_534,settings,53,84.42,4.21
user_535,settings,62,111.58,2.62
user_536,task_management,55,28.1,2.88
user_537,reports,20,19.47,3.32
user_538,dashboard,91,116.17,2.29
user_539,task_management,16,24.49,3.78
user_540,reports,32,116.18,2.44
user_541,collaboration,96,75.91,3.8
user_542,settings,98,108.3,2.43
user_543,task_management,98,38.07,4.87
user_544,reports,28,91.24,2.08
user_545,dashboard,29,49.15,3.48
user_546,collaboration,6,44.34,3.12
user_547,task_management,21,43.04,4.85
user_548,dashboard,74,89.71,4.0
user_549,analytics,92,15.65,4.88
user_550,analytics,29,73.82,4.85
user_551,analytics,89,66.31,2.95
user_552,settings,31,34.09,2.1
user_553,reports,53,77.36,3.87
user_554,notifications,47,25.06,1.59
user_555,settings,24,119.22,1.06
user_556,collaboration,28,108.31,4.84
user_557,notifications,17,33.37,4.76
user_558,notifications,89,73.65,1.85
user_559,collaboration,83,101.65,3.53
user_560,collaboration,29,22.26,3.55
user_561,reports,95,26.23,2.31
user_562,notifications,60,29.91,4.6
user_563,dashboard,7,51.84,3.74
user_564,task_management,95,70.98,3.98
user_565,notifications,5,64.48,4.74
user_566,settings,11,89.29,2.83
user_567,collaboration,19,94.89,1.07
user_568,task_management,35,81.42,2.64
user_569,notifications,16,117.13,2.4
user_570,dashboard,12,11.92,3.72
user_571,settings,25,105.36,3.15
user_572,settings,80,53.29,4.08
user_573,analytics,51,83.71,4.08
user_574,task_management,82,45.38,3.4
user_575,reports,39,80.86,1.22
user_576,collaboration,10,27.57,1.18
user_577,collaboration,81,82.69,1.39
user_578,notifications,45,24.64,1.93
user_579,notifications,20,47.21,1.22
user_580,collaboration,48,119.78,3.52
user_581,dashboard,25,67.61,1.72
user_582,task_management,19,65.33,1.79
user_583,notifications,71,103.2,1.06
user_584,reports,21,49.26,3.88
user_585,notifications,78,105.51,1.24
user_586,analytics,54,88.56,3.35
user_587,task_management,62,111.04,1.6
user_588,reports,82,110.89,1.14
user_589,reports,40,109.62,2.43
user_590,settings,22,105.81,1.74
user_591,analytics,25,40.05,3.97
user_592,reports,64,55.91,2.07
user_593,settings,49,77.35,3.22
user_594,reports,72,97.02,3.77
user_595,collaboration,6,52.9,2.13
user_596,analytics,84,83.09,3.87
user_597,dashboard,49,42.95,3.01
user_598,task_management,83,119.09,2.75
user_599,dashboard,58,105.61,4.85
user_600,settings,29,98.84,2.3
user_601,dashboard,7,21.58,1.71
user_602,dashboard,95,25.16,1.55
user_603,settings,60,94.12,2.03
user_604,task_management,94,109.8,3.42
user_605,task_management,10,20.17,4.95
user_606,collaboration,22,97.91,3.45
user_607,notifications,72,22.78,2.9
user_608,collaboration,58,42.3,2.26
user_609,notifications,60,66.73,3.01
user_610,notifications,57,88.9,4.84
user_611,notifications,83,100.7,2.1
user_612,analytics,99,27.73,2.72
user_613,task_management,36,21.61,1.98
user_614,collaboration,13,59.31,2.63
user_615,notifications,96,106.74,4.07
user_616,dashboard,3,21.53,3.35
user_617,dashboard,30,52.68,4.01
user_618,settings,72,39.84,1.92
user_619,dashboard,71,100.91,4.41
user_620,dashboard,39,114.01,1.39
user_621,notifications,64,10.35,2.78
user_622,notifications,81,30.67,2.41
user_623,dashboard,5,12.71,2.9
user_624,reports,25,45.59,1.73
user_625,collaboration,19,104.5,1.34
user_626,reports,75,84.12,1.74
user_627,analytics,87,102.47,3.57
user_628,task_management,60,29.12,1.51
user_629,reports,92,118.15,4.54
user_630,reports,73,68.5,4.95
user_631,collaboration,91,43.27,4.72
user_632,settings,26,27.79,1.1
user_633,task_management,20,46.58,1.58
user_634,collaboration,35,86.42,2.53
user_635,reports,10,59.3,1.04
user_636,reports,74,62.99,2.51
user_637,task_management,43,30.28,4.61
user_638,collaboration,43,113.64,3.71
user_639,dashboard,62,55.38,1.78
user_640,reports,36,118.19,4.73
user_641,reports,54,46.31,2.3
user_642,task_management,19,70.13,1.2
user_643,collaboration,23,37.65,2.98
user_644,task_management,52,102.51,1.74
user_645,notifications,64,51.16,2.85
user_646,collaboration,47,65.39,1.12
user_647,notifications,57,99.14,4.43
user_648,notifications,22,36.83,1.2
user_649,settings,65,118.91,2.42
user_650,task_management,22,55.68,1.6
user_651,reports,3,64.79,1.9
user_652,settings,91,93.48,4.96
user_653,analytics,63,22.3,4.99
user_654,task_management,4,76.06,3.95
user_655,analytics,78,19.33,4.61
user_656,settings,45,11.31,3.43
user_657,reports,38,35.7,3.72
user_658,reports,42,12.75,4.42
user_659,task_management,70,106.12,2.72
user_660,collaboration,26,29.99,1.39
user_661,collaboration,69,96.83,1.44
user_662,reports,75,24.65,1.35
user_663,analytics,64,28.09,3.88
user_664,dashboard,62,27.55,2.51
user_665,task_management,98,70.7,3.41
user_666,collaboration,24,86.1,4.24
user_667,task_management,92,18.19,2.91
user_668,collaboration,47,89.35,4.33
user_669,reports,96,92.08,3.23
user_670,task_management,8,63.57,4.17
user_671,reports,97,79.94,2.48
user_672,analytics,80,51.43,1.51
user_673,dashboard,58,62.32,4.44
user_674,reports,16,116.39,1.63
user_675,notifications,15,70.8,3.98
user_676,settings,6,29.01,1.74
user_677,notifications,62,24.21,1.3
user_678,notifications,6,84.2,2.35
user_679,collaboration,10,66.9,3.8
user_680,dashboard,79,53.44,2.94
user_681,dashboard,59,67.34,2.84
user_682,dashboard,16,59.42,2.46
user_683,settings,91,83.02,3.68
user_684,settings,12,48.09,4.83
user_685,reports,70,71.37,2.86
user_686,collaboration,19,117.83,4.0
user_687,notifications,24,106.5,4.13
user_688,settings,37,91.68,2.66
user_689,task_management,78,13.19,4.05
user_690,settings,53,86.62,3.05
user_691,collaboration,27,28.39,1.66
user_692,notifications,11,38.59,2.96
user_693,reports,4,48.0,3.49
user_694,task_management,56,50.22,2.37
user_695,notifications,64,23.27,3.15
user_696,reports,3,36.69,4.03
user_697,notifications,6,31.7,1.87
user_698,collaboration,35,66.68,2.89
user_699,dashboard,2,116.4,2.46
user_700,notifications,29,77.15,3.02
user_701,settings,85,46.09,3.35
user_702,dashboard,54,48.83,1.45
user_703,analytics,86,51.42,4.61
user_704,collaboration,2,63.28,4.42
user_705,collaboration,65,33.1,1.79
user_706,settings,79,40.92,3.91
user_707,settings,10,61.85,1.01
user_708,analytics,26,115.14,4.93
user_709,reports,63,32.26,1.84
user_710,collaboration,79,89.05,1.37
user_711,collaboration,80,102.45,1.31
user_712,analytics,74,114.91,1.16
user_713,settings,21,53.73,2.18
user_714,settings,12,17.74,1.87
user_715,reports,26,83.72,1.39
user_716,settings,19,48.35,1.45
user_717,task_management,29,23.68,1.72
user_718,dashboard,14,46.4,1.36
user_719,reports,64,109.78,2.85
user_720,reports,38,57.68,4.03
user_721,dashboard,67,37.27,3.67
user_722,task_management,93,46.05,2.08
user_723,dashboard,60,22.72,2.84
user_724,reports,15,75.9,3.26
user_725,reports,67,83.98,1.47
user_726,task_management,32,119.26,4.03
user_727,collaboration,29,102.1,3.01
user_728,notifications,46,115.87,1.99
user_729,reports,3,25.98,4.36
user_730,collaboration,48,38.01,1.35
user_731,settings,70,19.73,4.22
user_732,dashboard,44,15.81,3.14
user_733,collaboration,20,76.36,1.86
user_734,analytics,4,35.47,4.63
user_735,reports,14,75.35,1.16
user_736,analytics,5,76.38,1.19
user_737,task_management,31,114.18,3.46
user_738,task_management,68,96.78,1.7
user_739,task_management,17,118.71,2.87
user_740,reports,14,100.28,4.51
user_741,analytics,28,113.52,1.26
user_742,notifications,36,61.58,3.37
user_743,settings,31,99.05,4.54
user_744,analytics,15,60.09,3.26
user_745,reports,99,86.67,4.9
user_746,reports,30,94.99,2.04
user_747,analytics,12,10.34,2.97
user_748,reports,48,13.73,4.05
user_749,settings,17,19.51,1.34
user_750,dashboard,91,69.39,4.51
user_751,analytics,86,80.68,2.47
user_752,notifications,44,50.23,1.68
user_753,collaboration,54,55.81,4.53
user_754,analytics,26,96.03,4.07
user_755,dashboard,52,78.21,4.67
user_756,dashboard,60,61.62,3.51
user_757,dashboard,37,48.37,4.82
user_758,settings,33,48.58,1.78
user_759,dashboard,40,55.89,2.27
user_760,settings,14,78.98,4.56
user_761,analytics,73,65.4,2.88
user_762,analytics,3,84.03,2.26
user_763,analytics,53,17.19,2.78
user_764,settings,45,58.01,2.53
user_765,analytics,70,33.9,3.1
user_766,analytics,10,40.11,1.06
user_767,dashboard,20,68.57,1.15
user_768,analytics,7,95.06,3.59
user_769,settings,72,41.66,2.52
user_770,settings,49,11.41,3.95
user_771,task_management,86,91.86,1.72
user_772,task_management,49,94.66,2.07
user_773,dashboard,75,104.74,1.22
user_774,settings,23,70.54,2.81
