user_id,signup_date,last_active_date,is_churned,days_active,retention_rate
user_251,2023-01-20,2023-05-29,1,129,0.19
user_252,2023-01-22,2023-05-10,0,224,0.51
user_253,2023-01-30,2023-09-06,0,336,0.28
user_254,2023-01-01,2023-06-01,1,151,0.06
user_255,2023-01-08,2023-04-16,0,259,0.63
user_256,2023-01-28,2023-08-13,1,197,0.07
user_257,2023-01-30,2023-08-27,0,234,0.64
user_258,2023-01-03,2024-01-01,0,315,0.34
user_259,2023-01-23,2023-03-10,1,46,0.18
user_260,2023-01-30,2023-08-23,1,205,0.12
user_261,2023-01-20,2023-11-25,1,309,0.1
user_262,2023-01-30,2023-11-03,0,225,0.79
user_263,2023-01-19,2023-04-28,1,99,0.18
user_264,2023-01-16,2023-10-05,1,262,0.21
user_265,2023-01-11,2023-05-09,0,264,0.27
user_266,2023-01-25,2023-03-19,1,53,0.28
user_267,2023-01-29,2023-03-10,0,212,0.41
user_268,2023-01-17,2023-07-27,1,191,0.1
user_269,2023-01-20,2023-08-24,0,278,0.46
user_270,2023-01-24,2023-09-02,1,221,0.13
user_271,2023-01-15,2023-08-21,0,230,0.58
user_272,2023-01-29,2023-04-28,0,209,0.64
user_273,2023-01-10,2023-08-13,1,215,0.14
user_274,2023-01-28,2023-04-15,1,77,0.13
user_275,2023-01-15,2023-11-07,0,226,0.69
user_276,2023-01-11,2023-03-01,1,49,0.13
user_277,2023-01-31,2023-09-29,1,241,0.27
user_278,2023-01-20,2023-10-28,0,225,0.24
user_279,2023-01-05,2023-06-20,1,166,0.27
user_280,2023-01-12,2023-10-22,0,246,0.22
user_281,2023-01-14,2023-11-17,0,313,0.31
user_282,2023-01-26,2023-04-13,0,211,0.62
user_283,2023-01-08,2023-07-09,0,323,0.88
user_284,2023-01-22,2023-07-18,0,216,0.45
user_285,2023-01-31,2023-07-08,1,158,0.18
user_286,2023-01-14,2023-04-08,0,310,0.47
user_287,2023-01-05,2023-04-27,1,112,0.2
user_288,2023-01-09,2023-03-25,0,309,0.8
user_289,2023-01-07,2023-04-11,1,94,0.11
user_290,2023-01-04,2023-05-09,0,311,0.22
user_291,2023-01-29,2023-10-27,1,271,0.13
user_292,2023-01-09,2023-03-01,0,233,0.46
user_293,2023-01-26,2023-11-29,1,307,0.27
user_294,2023-01-11,2023-08-03,0,271,0.37
user_295,2023-01-23,2023-11-07,0,231,0.23
user_296,2023-01-03,2023-11-28,1,329,0.09
user_297,2023-01-05,2023-10-31,1,299,0.27
user_298,2023-01-21,2023-05-01,1,100,0.3
user_299,2023-01-15,2023-08-22,1,219,0.13
user_300,2023-01-29,2023-05-29,0,305,0.55
user_301,2023-01-12,2023-05-22,1,130,0.12
user_302,2023-01-08,2023-12-08,0,265,0.27
user_303,2023-01-09,2023-03-10,1,60,0.23
user_304,2023-01-19,2023-06-03,0,297,0.2
user_305,2023-01-17,2023-09-02,0,227,0.55
user_306,2023-01-28,2023-07-18,0,245,0.5
user_307,2023-01-19,2023-08-27,0,298,0.59
user_308,2023-01-25,2024-01-12,1,352,0.12
user_309,2023-01-31,2023-10-28,1,270,0.28
user_310,2023-01-24,2024-01-06,0,208,0.44
user_311,2023-01-21,2023-12-17,1,330,0.29
user_312,2023-01-24,2023-04-12,0,291,0.39
user_313,2023-01-21,2023-05-29,1,128,0.27
user_314,2023-01-07,2023-02-24,0,315,0.84
user_315,2023-01-02,2023-11-26,0,254,0.7
user_316,2023-01-22,2023-10-12,1,263,0.15
user_317,2023-01-18,2023-02-22,1,35,0.23
user_318,2023-01-14,2023-10-18,0,204,0.72
user_319,2023-01-26,2023-08-12,1,198,0.23
user_320,2023-01-09,2023-06-22,1,164,0.25
user_321,2023-01-23,2023-10-04,0,363,0.85
user_322,2023-01-11,2023-10-29,0,289,0.28
user_323,2023-01-01,2023-08-24,1,235,0.09
user_324,2023-01-27,2023-11-13,1,290,0.28
user_325,2023-01-02,2023-07-20,1,199,0.24
user_326,2023-01-17,2023-07-20,0,341,0.42
user_327,2023-01-29,2023-12-08,0,293,0.78
user_328,2023-01-17,2023-12-03,1,320,0.07
user_329,2023-01-04,2023-02-14,0,216,0.59
user_330,2023-01-05,2023-06-06,0,352,0.5
user_331,2023-01-19,2023-04-12,1,83,0.18
user_332,2023-01-11,2023-07-16,0,294,0.9
user_333,2023-01-15,2023-12-06,0,295,0.76
user_334,2023-01-24,2023-08-16,1,204,0.12
user_335,2023-01-07,2023-03-13,1,65,0.09
user_336,2023-01-06,2023-12-05,1,333,0.12
user_337,2023-01-28,2023-10-19,1,264,0.27
user_338,2023-01-01,2023-12-12,0,225,0.83
user_339,2023-01-03,2023-02-16,0,333,0.52
user_340,2023-01-17,2023-06-13,1,147,0.28
user_341,2023-01-03,2023-12-16,1,347,0.15
user_342,2023-01-24,2023-12-16,1,326,0.17
user_343,2023-01-07,2023-09-21,1,257,0.1
user_344,2023-01-15,2023-07-11,0,256,0.32
user_345,2023-01-23,2023-05-15,1,112,0.28
user_346,2023-01-21,2023-11-07,0,307,0.79
user_347,2023-01-20,2023-08-02,1,194,0.3
user_348,2023-01-14,2023-11-25,0,234,0.48
user_349,2023-01-08,2023-04-13,0,257,0.49
user_350,2023-01-15,2023-09-13,0,351,0.47
user_351,2023-01-23,2023-10-20,1,270,0.13
user_352,2023-01-01,2023-05-15,1,134,0.18
user_353,2023-01-18,2023-03-15,1,56,0.3
user_354,2023-01-21,2024-01-21,0,224,0.33
user_355,2023-01-16,2023-07-02,0,280,0.55
user_356,2023-01-19,2023-05-03,0,254,0.31
user_357,2023-01-06,2023-08-08,1,214,0.05
user_358,2023-01-02,2023-10-13,0,272,0.37
user_359,2023-01-17,2023-07-30,0,214,0.82
user_360,2023-01-29,2023-05-22,0,203,0.78
user_361,2023-01-03,2023-03-30,0,354,0.73
user_362,2023-01-12,2023-05-12,1,120,0.2
user_363,2023-01-11,2023-05-04,0,290,0.26
user_364,2023-01-06,2023-07-22,0,274,0.53
user_365,2023-01-30,2023-11-19,0,289,0.88
user_366,2023-01-28,2023-09-29,1,244,0.08
user_367,2023-01-28,2023-08-31,0,219,0.37
user_368,2023-01-19,2023-10-25,1,279,0.29
user_369,2023-01-09,2023-12-31,0,292,0.62
user_370,2023-01-08,2023-03-24,0,283,0.21
user_371,2023-01-24,2023-05-06,1,102,0.15
user_372,2023-01-24,2023-11-28,1,308,0.06
user_373,2023-01-29,2024-01-20,1,356,0.16
user_374,2023-01-17,2023-11-29,1,316,0.06
user_375,2023-01-02,2023-09-27,1,268,0.28
user_376,2023-01-15,2023-11-15,0,200,0.82
user_377,2023-01-17,2023-11-06,1,293,0.1
user_378,2023-01-17,2023-10-15,0,323,0.28
user_379,2023-01-24,2023-04-19,0,343,0.5
user_380,2023-01-20,2023-11-09,0,215,0.84
user_381,2023-01-31,2023-03-18,0,329,0.21
user_382,2023-01-19,2024-01-13,0,264,0.86
user_383,2023-01-05,2023-04-26,1,111,0.21
user_384,2023-01-01,2023-09-26,1,268,0.21
user_385,2023-01-16,2023-05-17,0,205,0.24
user_386,2023-01-25,2023-03-12,1,46,0.15
user_387,2023-01-02,2023-04-23,0,343,0.31
user_388,2023-01-11,2023-07-20,1,190,0.13
user_389,2023-01-30,2023-11-24,0,229,0.41
user_390,2023-01-17,2024-01-14,0,307,0.66
user_391,2023-01-11,2023-08-27,0,228,0.87
user_392,2023-01-08,2023-11-11,0,269,0.43
user_393,2023-01-17,2023-04-13,1,86,0.09
user_394,2023-01-31,2023-09-23,0,327,0.33
user_395,2023-01-13,2023-10-21,0,327,0.55
user_396,2023-01-07,2023-11-07,1,304,0.14
user_397,2023-01-13,2023-04-16,0,270,0.46
user_398,2023-01-14,2023-02-21,0,337,0.58
user_399,2023-01-19,2023-06-05,0,353,0.87
user_400,2023-01-13,2023-03-14,1,60,0.18
user_401,2023-01-03,2023-09-10,1,250,0.28
user_402,2023-01-08,2023-04-14,1,96,0.11
user_403,2023-01-28,2023-08-20,0,305,0.78
user_404,2023-01-11,2023-02-28,1,48,0.07
user_405,2023-01-19,2023-04-15,1,86,0.27
user_406,2023-01-31,2023-08-19,0,227,0.48
user_407,2023-01-17,2023-12-24,0,240,0.75
user_408,2023-01-12,2023-04-26,0,304,0.31
user_409,2023-01-09,2023-09-10,1,244,0.24
user_410,2023-01-04,2023-07-03,1,180,0.1
user_411,2023-01-05,2023-10-01,1,269,0.26
user_412,2023-01-03,2023-08-04,1,213,0.14
user_413,2023-01-05,2023-04-27,0,240,0.79
user_414,2023-01-01,2023-12-24,1,357,0.1
user_415,2023-01-01,2023-12-27,0,362,0.72
user_416,2023-01-27,2023-12-03,1,310,0.12
user_417,2023-01-24,2023-09-07,0,294,0.41
user_418,2023-01-15,2023-08-09,1,206,0.23
user_419,2023-01-11,2023-05-25,0,320,0.86
user_420,2023-01-30,2023-09-05,1,218,0.26
user_421,2023-01-01,2023-06-28,1,178,0.07
user_422,2023-01-25,2023-03-12,1,46,0.21
user_423,2023-01-30,2024-01-08,1,343,0.16
user_424,2023-01-27,2023-08-04,1,189,0.15
user_425,2023-01-14,2023-08-25,0,332,0.72
user_426,2023-01-03,2023-10-23,0,354,0.33
user_427,2023-01-11,2023-05-02,1,111,0.21
user_428,2023-01-14,2023-04-17,0,311,0.87
user_429,2023-01-24,2023-07-28,1,185,0.15
user_430,2023-01-02,2023-05-25,0,249,0.33
user_431,2023-01-11,2023-03-06,0,217,0.7
user_432,2023-01-08,2023-12-20,1,346,0.08
user_433,2023-01-14,2023-04-16,0,256,0.86
user_434,2023-01-18,2023-05-21,1,123,0.29
user_435,2023-01-12,2023-12-03,0,295,0.89
user_436,2023-01-31,2023-06-15,0,351,0.33
user_437,2023-01-12,2023-10-19,1,280,0.27
user_438,2023-01-20,2023-03-05,0,316,0.84
user_439,2023-01-08,2023-03-12,1,63,0.28
user_440,2023-01-17,2023-09-01,1,227,0.16
user_441,2023-01-04,2023-03-27,0,216,0.62
user_442,2023-01-10,2023-10-13,0,308,0.42
user_443,2023-01-08,2023-12-12,0,209,0.84
user_444,2023-01-18,2023-10-22,1,277,0.29
user_445,2023-01-20,2023-10-23,0,286,0.38
user_446,2023-01-09,2023-05-15,0,268,0.22
user_447,2023-01-23,2023-07-07,1,165,0.09
user_448,2023-01-29,2023-12-27,0,340,0.42
user_449,2023-01-14,2023-02-23,1,40,0.3
user_450,2023-01-14,2023-04-04,0,286,0.4
user_451,2023-01-04,2023-10-16,0,287,0.76
user_452,2023-01-31,2024-01-04,1,338,0.13
user_453,2023-01-08,2023-02-21,1,44,0.27
user_454,2023-01-08,2023-04-22,1,104,0.09
user_455,2023-01-17,2023-07-27,0,260,0.34
user_456,2023-01-22,2023-12-24,1,336,0.28
user_457,2023-01-14,2023-08-17,1,215,0.12
user_458,2023-01-29,2023-04-26,0,289,0.46
user_459,2023-01-07,2023-09-26,1,262,0.27
user_460,2023-01-21,2023-05-16,1,115,0.22
user_461,2023-01-01,2023-07-31,1,211,0.12
user_462,2023-01-01,2023-03-04,0,341,0.89
user_463,2023-01-05,2023-08-03,0,326,0.29
user_464,2023-01-31,2023-10-12,0,325,0.71
user_465,2023-01-21,2023-03-15,1,53,0.16
user_466,2023-01-05,2023-10-22,1,290,0.16
user_467,2023-01-10,2023-06-10,1,151,0.22
user_468,2023-01-19,2023-12-09,0,222,0.89
user_469,2023-01-17,2023-04-27,1,100,0.09
user_470,2023-01-14,2023-05-12,0,223,0.52
user_471,2023-01-26,2023-05-24,0,216,0.32
user_472,2023-01-23,2023-04-02,1,69,0.22
user_473,2023-01-20,2023-12-16,0,212,0.56
user_474,2023-01-10,2023-11-24,0,329,0.64
user_475,2023-01-19,2023-03-23,0,257,0.29
user_476,2023-01-31,2023-12-27,0,346,0.53
user_477,2023-01-05,2023-05-04,0,255,0.39
user_478,2023-01-28,2023-06-23,1,146,0.14
user_479,2023-01-08,2023-02-22,1,45,0.27
user_480,2023-01-17,2023-05-25,1,128,0.06
user_481,2023-01-07,2023-09-25,0,213,0.26
user_482,2023-01-11,2023-07-24,1,194,0.27
user_483,2023-01-05,2023-10-18,1,286,0.11
user_484,2023-01-29,2023-12-26,1,331,0.22
user_485,2023-01-28,2023-07-12,1,165,0.23
user_486,2023-01-19,2023-12-05,1,320,0.14
user_487,2023-01-28,2023-08-06,0,356,0.32
user_488,2023-01-17,2023-03-03,1,45,0.15
user_489,2023-01-09,2023-05-18,1,129,0.11
user_490,2023-01-14,2023-03-01,1,46,0.3
user_491,2023-01-09,2023-11-17,0,271,0.31
user_492,2023-01-07,2023-10-13,0,334,0.3
user_493,2023-01-13,2023-05-12,0,338,0.26
user_494,2023-01-12,2023-12-21,1,343,0.24
user_495,2023-01-10,2024-01-05,1,360,0.24
user_496,2023-01-30,2023-10-11,1,254,0.06
user_497,2023-01-19,2023-11-16,0,286,0.75
user_498,2023-01-15,2024-01-13,1,363,0.11
user_499,2023-01-10,2023-10-29,1,292,0.17
user_500,2023-01-12,2023-09-24,1,255,0.08
user_501,2023-01-13,2023-03-21,0,276,0.4
user_502,2023-01-06,2023-09-24,1,261,0.29
user_503,2023-01-26,2023-12-14,1,322,0.26
user_504,2023-01-01,2023-04-16,0,351,0.71
user_505,2023-01-06,2023-08-21,1,227,0.1
user_506,2023-01-01,2023-08-01,1,212,0.1
user_507,2023-01-08,2023-09-23,1,258,0.18
user_508,2023-01-04,2023-02-20,0,237,0.86
user_509,2023-01-05,2023-12-06,1,335,0.26
user_510,2023-01-08,2023-05-03,0,348,0.71
user_511,2023-01-20,2023-06-19,1,150,0.26
user_512,2023-01-04,2023-07-02,0,281,0.64
user_513,2023-01-13,2023-07-09,1,177,0.16
user_514,2023-01-18,2023-02-19,0,261,0.38
user_515,2023-01-26,2023-05-18,0,302,0.61
user_516,2023-01-03,2023-06-06,0,358,0.64
user_517,2023-01-25,2023-06-04,1,130,0.08
user_518,2023-01-12,2023-06-05,0,358,0.36
user_519,2023-01-03,2023-10-23,0,223,0.65
user_520,2023-01-20,2023-07-05,0,224,0.22
user_521,2023-01-16,2023-11-11,0,360,0.82
user_522,2023-01-07,2023-04-04,0,268,0.84
user_523,2023-01-26,2023-10-06,0,266,0.58
user_524,2023-01-21,2023-05-22,1,121,0.29
user_525,2023-01-10,2023-05-13,0,205,0.6
user_526,2023-01-23,2023-05-25,1,122,0.27
user_527,2023-01-13,2023-11-15,1,306,0.06
user_528,2023-01-06,2023-11-18,0,279,0.6
user_529,2023-01-14,2023-04-14,0,304,0.55
user_530,2023-01-16,2023-10-27,0,213,0.75
user_531,2023-01-21,2023-08-23,0,268,0.71
user_532,2023-01-27,2023-09-29,0,237,0.8
user_533,2023-01-15,2023-04-10,1,85,0.12
user_534,2023-01-26,2023-10-27,1,274,0.25
user_535,2023-01-03,2023-02-20,1,48,0.29
user_536,2023-01-16,2023-03-17,0,231,0.33
user_537,2023-01-18,2023-09-20,1,245,0.1
user_538,2023-01-24,2023-09-05,0,348,0.38
user_539,2023-01-10,2023-07-15,1,186,0.26
user_540,2023-01-23,2023-06-19,0,254,0.59
user_541,2023-01-13,2023-11-15,1,306,0.23
user_542,2023-01-17,2023-08-04,1,199,0.06
user_543,2023-01-02,2023-07-14,0,278,0.58
user_544,2023-01-21,2023-09-13,0,222,0.43
user_545,2023-01-11,2023-02-11,1,31,0.23
user_546,2023-01-29,2023-06-15,1,137,0.27
user_547,2023-01-17,2023-06-12,0,230,0.28
user_548,2023-01-30,2023-04-03,0,258,0.59
user_549,2023-01-18,2023-08-20,1,214,0.09
user_550,2023-01-09,2023-05-14,0,323,0.81
user_551,2023-01-19,2023-08-27,1,220,0.1
user_552,2023-01-11,2023-06-09,0,357,0.84
user_553,2023-01-24,2023-03-19,1,54,0.24
user_554,2023-01-18,2023-08-29,0,200,0.38
user_555,2023-01-04,2023-11-16,1,316,0.15
user_556,2023-01-28,2023-12-27,1,333,0.07
user_557,2023-01-20,2023-10-13,0,245,0.39
user_558,2023-01-03,2023-08-25,1,234,0.1
user_559,2023-01-29,2023-08-19,1,202,0.15
user_560,2023-01-08,2023-04-10,0,243,0.54
user_561,2023-01-16,2023-05-15,1,119,0.17
user_562,2023-01-01,2023-11-27,0,351,0.33
user_563,2023-01-06,2023-04-17,0,218,0.4
user_564,2023-01-19,2023-03-21,1,61,0.06
user_565,2023-01-03,2023-02-02,1,30,0.24
user_566,2023-01-02,2023-03-04,0,236,0.32
user_567,2023-01-01,2023-12-29,1,362,0.06
user_568,2023-01-20,2023-03-17,1,56,0.2
user_569,2023-01-10,2023-04-19,1,99,0.06
user_570,2023-01-04,2023-11-18,1,318,0.29
user_571,2023-01-12,2023-09-29,0,309,0.34
user_572,2023-01-04,2023-08-12,1,220,0.07
user_573,2023-01-01,2023-11-07,1,310,0.28
user_574,2023-01-25,2023-05-17,1,112,0.17
user_575,2023-01-20,2023-05-30,0,217,0.85
user_576,2023-01-05,2023-05-14,0,357,0.35
user_577,2023-01-05,2023-10-11,0,304,0.61
user_578,2023-01-16,2023-07-14,1,179,0.13
user_579,2023-01-04,2023-06-22,0,213,0.89
user_580,2023-01-03,2023-07-13,0,261,0.36
user_581,2023-01-24,2023-07-28,0,358,0.72
user_582,2023-01-25,2023-12-15,0,236,0.66
user_583,2023-01-04,2023-09-28,0,330,0.36
user_584,2023-01-03,2023-05-18,1,135,0.19
user_585,2023-01-14,2024-01-07,0,276,0.61
user_586,2023-01-05,2023-12-25,1,354,0.25
user_587,2023-01-02,2023-04-13,1,101,0.28
user_588,2023-01-09,2023-11-28,0,272,0.41
user_589,2023-01-24,2023-11-02,0,283,0.21
user_590,2023-01-23,2023-11-28,0,351,0.28
user_591,2023-01-05,2023-06-20,1,166,0.2
user_592,2023-01-11,2023-06-27,1,167,0.26
user_593,2023-01-07,2023-11-04,0,220,0.46
user_594,2023-01-14,2023-08-26,0,333,0.61
user_595,2023-01-30,2023-09-05,0,238,0.73
user_596,2023-01-05,2023-12-24,1,353,0.26
user_597,2023-01-15,2023-09-01,0,310,0.79
user_598,2023-01-03,2023-11-14,1,315,0.24
user_599,2023-01-01,2023-12-23,1,356,0.27
user_600,2023-01-10,2023-08-16,1,218,0.08
